hgnc_id,symbol,ensembl_gene_id,class,name,uniprot_ids,entrez_id,alias_symbol,kinase_com_name
HGNC:19679,AAK1,ENSG00000115977,Light,AP2 associated kinase 1,Q2M2I8,22848,AAK1|KIAA1048|DKFZp686K16132,AAK1
HGNC:21,AATK,ENSG00000181409,Light,apoptosis associated tyrosine kinase,Q6ZMQ8,9625,AATK|AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77,LMR1
HGNC:76,ABL1,ENSG00000097007,Light,"ABL proto-oncogene 1, non-receptor tyrosine kinase",P00519,25,ABL1|JTK7|c-ABL|p150,ABL1
HGNC:77,ABL2,ENSG00000143322,Light,"ABL proto-oncogene 2, non-receptor tyrosine kinase",P42684,27,ABL2|ARG,ABL2
HGNC:81,ABR,ENSG00000159842,Light,ABR activator of RhoGEF and GTPase,Q12979,29,ABR|MDB,NA
HGNC:171,ACVR1,ENSG00000115170,Light,activin A receptor type 1,Q04771,90,ACVR1|SKR1|ALK2|ACVR1A,ALK2
HGNC:172,ACVR1B,ENSG00000135503,Light,activin A receptor type 1B,P36896,91,ACVR1B|ALK4|SKR2|ActRIB,ALK4
HGNC:18123,ACVR1C,ENSG00000123612,Light,activin A receptor type 1C,Q8NER5,130399,ACVR1C|ALK7|ACVRLK7,ALK7
HGNC:173,ACVR2A,ENSG00000121989,Light,activin A receptor type 2A,P27037,92,ACVR2A|ACTRII,ACTR2
HGNC:174,ACVR2B,ENSG00000114739,Light,activin A receptor type 2B,Q13705,93,ACVR2B|ActR-IIB,ACTR2B
HGNC:175,ACVRL1,ENSG00000139567,Light,activin A receptor like type 1,P37023,94,ACVRL1|HHT2|ALK1|HHT,ALK1
HGNC:19038,ADCK1,ENSG00000063761,Dark,aarF domain containing kinase 1,Q86TW2,57143,ADCK1|FLJ39600,ADCK1
HGNC:19039,ADCK2,ENSG00000133597,Dark,aarF domain containing kinase 2,Q7Z695,90956,ADCK2|MGC20727,ADCK2
HGNC:21738,ADCK5,ENSG00000173137,Dark,aarF domain containing kinase 5,Q3MIX3,203054,ADCK5|FLJ35454,ADCK5
HGNC:25250,ADPGK,ENSG00000159322,Light,ADP dependent glucokinase,Q9BRR6,83440,ADPGK|DKFZp434B195|ADP-GK,NA
HGNC:391,AKT1,ENSG00000142208,Light,AKT serine/threonine kinase 1,P31749,207,AKT1|RAC|PKB|PRKBA|AKT,AKT1
HGNC:392,AKT2,ENSG00000105221,Light,AKT serine/threonine kinase 2,P31751,208,AKT2,AKT2
HGNC:393,AKT3,ENSG00000117020,Light,AKT serine/threonine kinase 3,Q9Y243,10000,AKT3|PKBG|RAC-gamma|PRKBG,AKT3
HGNC:427,ALK,ENSG00000171094,Light,ALK receptor tyrosine kinase,Q9UM73,238,ALK|CD246,ALK
HGNC:20917,ALPK1,ENSG00000073331,Light,alpha kinase 1,Q96QP1,80216,ALPK1|Lak|FLJ22670|KIAA1527,AlphaK3
HGNC:20565,ALPK2,ENSG00000198796,Dark,alpha kinase 2,Q86TB3,115701,ALPK2|HAK,AlphaK2
HGNC:17574,ALPK3,ENSG00000136383,Dark,alpha kinase 3,Q96L96,57538,ALPK3|MAK|KIAA1330|Midori,AlphaK1
HGNC:465,AMHR2,ENSG00000135409,Light,anti-Mullerian hormone receptor type 2,Q16671,269,AMHR2|MISR2|MISRII,MISR2
HGNC:21027,ANKK1,ENSG00000170209,Light,ankyrin repeat and kinase domain containing 1,Q8NFD2,255239,ANKK1|X-kinase,SgK288
HGNC:646,ARAF,ENSG00000078061,Light,"A-Raf proto-oncogene, serine/threonine kinase",P10398,369,ARAF,ARAF
HGNC:795,ATM,ENSG00000149311,Light,ATM serine/threonine kinase,Q13315,472,ATM|TEL1|TELO1,ATM
HGNC:882,ATR,ENSG00000175054,Light,ATR serine/threonine kinase,Q13535,545,ATR|FRP1|SCKL|SCKL1|MEC1,ATR
HGNC:11393,AURKA,ENSG00000087586,Light,aurora kinase A,O14965,6790,AURKA|BTAK|AurA|STK7|ARK1|PPP1R47|AIK,AurA
HGNC:11390,AURKB,ENSG00000178999,Light,aurora kinase B,Q96GD4,9212,AURKB|Aik2|IPL1|AurB|AIM-1|ARK2|STK5|PPP1R48,AurB
HGNC:11391,AURKC,ENSG00000105146,Light,aurora kinase C,Q9UQB9,6795,AURKC|AurC|ARK3,AurC
HGNC:905,AXL,ENSG00000167601,Light,AXL receptor tyrosine kinase,P30530,558,AXL|UFO|JTK11|Tyro7|ARK,AXL
HGNC:960,BAZ1A,ENSG00000198604,Light,bromodomain adjacent to zinc finger domain 1A,Q9NRL2,11177,BAZ1A|hACF1|ACF1|WALp1|WCRF180,NA
HGNC:961,BAZ1B,ENSG00000009954,Light,bromodomain adjacent to zinc finger domain 1B,Q9UIG0,9031,BAZ1B|WSTF,NA
HGNC:16902,BCKDK,ENSG00000103507,Dark,branched chain keto acid dehydrogenase kinase,O14874,10295,BCKDK,BCKDK
HGNC:1014,BCR,ENSG00000186716,Light,BCR activator of RhoGEF and GTPase,P11274,613,BCR|D22S662|CML|PHL|ALL,BCR
HGNC:1057,BLK,ENSG00000136573,Light,"BLK proto-oncogene, Src family tyrosine kinase",P51451,640,BLK|MGC10442,BLK
HGNC:1062,BLVRA,ENSG00000106605,Light,biliverdin reductase A,P53004,644,BLVRA,NA
HGNC:18041,BMP2K,ENSG00000138756,Light,BMP2 inducible kinase,Q9NSY1,55589,BMP2K|DKFZp434K0614|BIKe,BIKE
HGNC:1076,BMPR1A,ENSG00000107779,Light,bone morphogenetic protein receptor type 1A,P36894,657,BMPR1A|ALK3|CD292,BMPR1A
HGNC:1077,BMPR1B,ENSG00000138696,Light,bone morphogenetic protein receptor type 1B,O00238,658,BMPR1B|ALK6|CDw293,BMPR1B
HGNC:1078,BMPR2,ENSG00000204217,Light,bone morphogenetic protein receptor type 2,Q13873,659,BMPR2|BRK-3|T-ALK|BMPR3|BMPR-II,BMPR2
HGNC:1079,BMX,ENSG00000102010,Light,BMX non-receptor tyrosine kinase,P51813,660,BMX|ETK|PSCTK3,BMX
HGNC:1097,BRAF,ENSG00000157764,Light,"B-Raf proto-oncogene, serine/threonine kinase",P15056,673,BRAF|BRAF1,BRAF
HGNC:1103,BRD2,ENSG00000204256,Light,bromodomain containing 2,P25440,6046,BRD2|KIAA9001|RING3|D6S113E|NAT|FSRG1,BRD2
HGNC:1104,BRD3,ENSG00000169925,Light,bromodomain containing 3,Q15059,8019,BRD3|RING3L|ORFX|KIAA0043,BRD3
HGNC:13575,BRD4,ENSG00000141867,Light,bromodomain containing 4,O60885,23476,BRD4|HUNKI|MCAP|CAP|HUNK1,BRD4
HGNC:1105,BRDT,ENSG00000137948,Light,bromodomain testis associated,Q58F21,676,BRDT|BRD6|CT9,BRDT
HGNC:18994,BRSK1,ENSG00000160469,Dark,BR serine/threonine kinase 1,Q8TDC3,84446,BRSK1|KIAA1811,BRSK1
HGNC:11405,BRSK2,ENSG00000174672,Dark,BR serine/threonine kinase 2,Q8IWQ3,9024,BRSK2|PEN11B,BRSK2
HGNC:1133,BTK,ENSG00000010671,Light,Bruton tyrosine kinase,Q06187,695,BTK|ATK|XLA|PSCTK1,BTK
HGNC:1148,BUB1,ENSG00000169679,Light,BUB1 mitotic checkpoint serine/threonine kinase,O43683,699,BUB1|hBUB1|BUB1A,BUB1
HGNC:1149,BUB1B,ENSG00000156970,Light,BUB1 mitotic checkpoint serine/threonine kinase B,O60566,701,BUB1B|BUBR1|MAD3L|Bub1A|SSK1,BUBR1
HGNC:52276,BUB1B-PAK6,ENSG00000259288,Light,BUB1B-PAK6 readthrough,,106821730,BUB1B-PAK6,NA
HGNC:48354,C8orf44-SGK3,ENSG00000270024,Light,C8orf44-SGK3 readthrough,,100533105,C8orf44-SGK3,NA
HGNC:1459,CAMK1,ENSG00000134072,Light,calcium/calmodulin dependent protein kinase I,Q14012,8536,CAMK1|CaMKI|CaMKI-alpha,CaMK1a
HGNC:19341,CAMK1D,ENSG00000183049,Dark,calcium/calmodulin dependent protein kinase ID,Q8IU85,57118,CAMK1D|CKLiK,CaMK1d
HGNC:14585,CAMK1G,ENSG00000008118,Dark,calcium/calmodulin dependent protein kinase IG,Q96NX5,57172,CAMK1G|VWS1|CLICKIII|dJ272L16.1,CaMK1g
HGNC:1460,CAMK2A,ENSG00000070808,Light,calcium/calmodulin dependent protein kinase II alpha,Q9UQM7,815,CAMK2A|KIAA0968|CaMKIINalpha,CaMK2a
HGNC:1461,CAMK2B,ENSG00000058404,Light,calcium/calmodulin dependent protein kinase II beta,Q13554,816,CAMK2B|CAM2|CAMK2,CaMK2b
HGNC:1462,CAMK2D,ENSG00000145349,Light,calcium/calmodulin dependent protein kinase II delta,Q13557,817,CAMK2D,CaMK2d
HGNC:1463,CAMK2G,ENSG00000148660,Light,calcium/calmodulin dependent protein kinase II gamma,Q13555,818,CAMK2G,CaMK2g
HGNC:1464,CAMK4,ENSG00000152495,Light,calcium/calmodulin dependent protein kinase IV,Q16566,814,CAMK4|CaMK-GR|CaMKIV,CaMK4
HGNC:1469,CAMKK1,ENSG00000004660,Dark,calcium/calmodulin dependent protein kinase kinase 1,Q8N5S9,84254,CAMKK1|DKFZp761M0423|CAMKKA|MGC34095,CaMKK1
HGNC:1470,CAMKK2,ENSG00000110931,Dark,calcium/calmodulin dependent protein kinase kinase 2,Q96RR4,10645,CAMKK2|CAMKK|KIAA0787|CAMKKB|MGC15254,CaMKK2
HGNC:28788,CAMKV,ENSG00000164076,Dark,CaM kinase like vesicle associated,Q8NCB2,79012,CAMKV|MGC8407|VACAMKL,VACAMKL
HGNC:1497,CASK,ENSG00000147044,Light,calcium/calmodulin dependent serine protein kinase,O14936,8573,CASK|LIN2|CAGH39|FGS4,CASK
HGNC:1745,CDC7,ENSG00000097046,Light,cell division cycle 7,O00311,8317,CDC7|Hsk1|huCdc7|HsCdc7,CDC7
HGNC:1737,CDC42BPA,ENSG00000143776,Dark,CDC42 binding protein kinase alpha,Q5VT25,8476,CDC42BPA|MRCKA|PK428|FLJ23347|KIAA0451|MRCK,MRCKa
HGNC:1738,CDC42BPB,ENSG00000198752,Dark,CDC42 binding protein kinase beta,Q9Y5S2,9578,CDC42BPB|MRCKB|KIAA1124,MRCKb
HGNC:29829,CDC42BPG,ENSG00000171219,Dark,CDC42 binding protein kinase gamma,Q6DT37,55561,CDC42BPG|HSMDPKIN|MRCKgamma|DMPK2|kappa-200,DMPK2
HGNC:1722,CDK1,ENSG00000170312,Light,cyclin dependent kinase 1,P06493,983,CDK1|CDC28A,CDC2
HGNC:1771,CDK2,ENSG00000123374,Light,cyclin dependent kinase 2,P24941,1017,CDK2,CDK2
HGNC:1772,CDK3,ENSG00000250506,Light,cyclin dependent kinase 3,Q00526,1018,CDK3,CDK3
HGNC:1773,CDK4,ENSG00000135446,Light,cyclin dependent kinase 4,P11802,1019,CDK4|PSK-J3,CDK4
HGNC:1774,CDK5,ENSG00000164885,Light,cyclin dependent kinase 5,Q00535,1020,CDK5|PSSALRE,CDK5
HGNC:1777,CDK6,ENSG00000105810,Light,cyclin dependent kinase 6,Q00534,1021,CDK6|PLSTIRE,CDK6
HGNC:1778,CDK7,ENSG00000134058,Light,cyclin dependent kinase 7,P50613,1022,CDK7|CAK1|CDKN7|MO15|STK1|CAK,CDK7
HGNC:1779,CDK8,ENSG00000132964,Light,cyclin dependent kinase 8,P49336,1024,CDK8|K35,CDK8
HGNC:1780,CDK9,ENSG00000136807,Light,cyclin dependent kinase 9,P50750,1025,CDK9|PITALRE|C-2k|TAK,CDK9
HGNC:1770,CDK10,ENSG00000185324,Dark,cyclin dependent kinase 10,Q15131,8558,CDK10|PISSLRE,CDK10
HGNC:1730,CDK11A,ENSG00000008128,Dark,cyclin dependent kinase 11A,Q9UQ88,728642,CDK11A|PITSLRE|CDK11-p110|CDK11-p58|CDK11-p46|p58GTA,PITSLRE
HGNC:1729,CDK11B,ENSG00000248333,Dark,cyclin dependent kinase 11B,P21127,984,CDK11B|CDK11-p110|CDK11-p58|CDK11-p46,NA
HGNC:24224,CDK12,ENSG00000167258,Dark,cyclin dependent kinase 12,Q9NYV4,51755,CDK12|CRK7|CRKR|KIAA0904,CRK7
HGNC:1733,CDK13,ENSG00000065883,Dark,cyclin dependent kinase 13,Q14004,8621,CDK13|CHED|CDC2L|KIAA1791,CHED
HGNC:8883,CDK14,ENSG00000058091,Dark,cyclin dependent kinase 14,O94921,5218,CDK14|PFTAIRE1,PFTAIRE1
HGNC:14434,CDK15,ENSG00000138395,Dark,cyclin dependent kinase 15,Q96Q40,65061,CDK15|PFTAIRE2,PFTAIRE2
HGNC:8749,CDK16,ENSG00000102225,Dark,cyclin dependent kinase 16,Q00536,5127,CDK16|PCTAIRE|PCTAIRE1|PCTGAIRE|FLJ16665,PCTAIRE1
HGNC:8750,CDK17,ENSG00000059758,Dark,cyclin dependent kinase 17,Q00537,5128,CDK17|PCTAIRE2,PCTAIRE2
HGNC:8751,CDK18,ENSG00000117266,Dark,cyclin dependent kinase 18,Q07002,5129,CDK18|PCTAIRE3,PCTAIRE3
HGNC:19338,CDK19,ENSG00000155111,Dark,cyclin dependent kinase 19,Q9BWU1,23097,CDK19|KIAA1028|bA346C16.3,CDK11
HGNC:21420,CDK20,ENSG00000156345,Dark,cyclin dependent kinase 20,Q8IZL9,23552,CDK20|p42,CCRK
HGNC:1781,CDKL1,ENSG00000100490,Dark,cyclin dependent kinase like 1,Q00532,8814,CDKL1|KKIALRE,CDKL1
HGNC:1782,CDKL2,ENSG00000138769,Dark,cyclin dependent kinase like 2,Q92772,8999,CDKL2|P56|KKIAMRE,CDKL2
HGNC:15483,CDKL3,ENSG00000006837,Dark,cyclin dependent kinase like 3,Q8IVW4,51265,CDKL3|NKIAMRE,CDKL3
HGNC:19287,CDKL4,ENSG00000205111,Dark,cyclin dependent kinase like 4,Q5MAI5,344387,CDKL4,CDKL4
HGNC:11411,CDKL5,ENSG00000008086,Dark,cyclin dependent kinase like 5,O76039,6792,CDKL5|EIEE2|CFAP247,CDKL5
HGNC:1925,CHEK1,ENSG00000149554,Light,checkpoint kinase 1,O14757,1111,CHEK1|CHK1,CHK1
HGNC:16627,CHEK2,ENSG00000183765,Light,checkpoint kinase 2,O96017,11200,CHEK2|CDS1|CHK2|HuCds1|PP1425|bA444G7,CHK2
HGNC:1974,CHUK,ENSG00000213341,Light,component of inhibitor of nuclear factor kappa B kinase complex,O15111,1147,CHUK|IKK1|IKK-alpha|IkBKA|NFKBIKA|IKKA,IKKa
HGNC:1985,CIT,ENSG00000122966,Light,citron rho-interacting serine/threonine kinase,O14578,11113,CIT|KIAA0949|STK21|CRIK|CITK,CRIK
HGNC:1991,CKB,ENSG00000166165,Light,creatine kinase B,P12277,1152,CKB,NA
HGNC:1994,CKM,ENSG00000104879,Light,"creatine kinase, M-type",P06732,1158,CKM,NA
HGNC:31736,CKMT1A,ENSG00000223572,Light,"creatine kinase, mitochondrial 1A",P12532,548596,CKMT1A,NA
HGNC:1995,CKMT1B,ENSG00000237289,Light,"creatine kinase, mitochondrial 1B",P12532,1159,CKMT1B|UMTCK,NA
HGNC:1996,CKMT2,ENSG00000131730,Light,"creatine kinase, mitochondrial 2",P17540,1160,CKMT2|SMTCK,NA
HGNC:2068,CLK1,ENSG00000013441,Light,CDC like kinase 1,P49759,1195,CLK1,CLK1
HGNC:2069,CLK2,ENSG00000176444,Light,CDC like kinase 2,P49760,1196,CLK2|clk2,CLK2
HGNC:2071,CLK3,ENSG00000179335,Dark,CDC like kinase 3,P49761,1198,CLK3|clk3,CLK3
HGNC:13659,CLK4,ENSG00000113240,Dark,CDC like kinase 4,Q9HAZ1,57396,CLK4,CLK4
HGNC:2205,COL4A3BP,ENSG00000113163,Light,collagen type IV alpha 3 binding protein,Q9Y5P4,10087,COL4A3BP|GPBP|STARD11|CERT,NA
HGNC:16812,COQ8A,ENSG00000163050,Dark,coenzyme Q8A,Q8NI60,56997,COQ8A|COQ8|SCAR9,ADCK3
HGNC:19041,COQ8B,ENSG00000123815,Dark,coenzyme Q8B,Q96D53,79934,COQ8B|FLJ12229|COQ8,ADCK4
HGNC:2433,CSF1R,ENSG00000182578,Light,colony stimulating factor 1 receptor,P07333,1436,CSF1R|C-FMS|CSFR|CD115,FMS
HGNC:2444,CSK,ENSG00000103653,Light,C-terminal Src kinase,P41240,1445,CSK,CSK
HGNC:2451,CSNK1A1,ENSG00000113712,Light,casein kinase 1 alpha 1,P48729,1452,CSNK1A1|CK1|CK1a|CK1alpha|CKIa|CKIalpha,CK1a
HGNC:20289,CSNK1A1L,ENSG00000180138,Dark,casein kinase 1 alpha 1 like,Q8N752,122011,CSNK1A1L|MGC33182,CK1a2
HGNC:2452,CSNK1D,ENSG00000141551,Light,casein kinase 1 delta,P48730,1453,CSNK1D|HCKID|CKID|CKIdelta,CK1d
HGNC:2453,CSNK1E,ENSG00000213923,Light,casein kinase 1 epsilon,P49674,1454,CSNK1E|HCKIE|CKIE|CKIepsilon,CK1e
HGNC:2454,CSNK1G1,ENSG00000169118,Dark,casein kinase 1 gamma 1,Q9HCP0,53944,CSNK1G1|CK1gamma1,CK1g1
HGNC:2455,CSNK1G2,ENSG00000133275,Dark,casein kinase 1 gamma 2,P78368,1455,CSNK1G2|CK1g2,CK1g2
HGNC:2456,CSNK1G3,ENSG00000151292,Dark,casein kinase 1 gamma 3,Q9Y6M4,1456,CSNK1G3,CK1g3
HGNC:2457,CSNK2A1,ENSG00000101266,Light,casein kinase 2 alpha 1,P68400,1457,CSNK2A1|Cka1|Cka2,CK2a1
HGNC:2459,CSNK2A2,ENSG00000070770,Dark,casein kinase 2 alpha 2,P19784,1459,CSNK2A2|CSNK2A1|CK2alpha',CK2a2
HGNC:2458,CSNK2A3,ENSG00000254598,Dark,casein kinase 2 alpha 3,Q8NEV1,283106,CSNK2A3,NA
HGNC:2674,DAPK1,ENSG00000196730,Light,death associated protein kinase 1,P53355,1612,DAPK1|DAPK|ROCO3,DAPK1
HGNC:2675,DAPK2,ENSG00000035664,Light,death associated protein kinase 2,Q9UIK4,23604,DAPK2|DRP-1|MGC119312,DAPK2
HGNC:2676,DAPK3,ENSG00000167657,Light,death associated protein kinase 3,O43293,1613,DAPK3|ZIP|ZIPK,DAPK3
HGNC:2700,DCLK1,ENSG00000133083,Light,doublecortin like kinase 1,O15075,9201,DCLK1|KIAA0369|DCLK|DCDC3A,DCLK1
HGNC:19002,DCLK2,ENSG00000170390,Light,doublecortin like kinase 2,Q8N568,166614,DCLK2|MGC45428|DCDC3|DCDC3B|DCK2,DCLK2
HGNC:19005,DCLK3,ENSG00000163673,Dark,doublecortin like kinase 3,Q9C098,85443,DCLK3|KIAA1765|DCDC3C,DCLK3
HGNC:2730,DDR1,ENSG00000204580,Light,discoidin domain receptor tyrosine kinase 1,Q08345,780,DDR1|RTK6|CD167,DDR1
HGNC:2731,DDR2,ENSG00000162733,Light,discoidin domain receptor tyrosine kinase 2,Q16832,4921,DDR2|TKT,DDR2
HGNC:2849,DGKA,ENSG00000065357,Light,diacylglycerol kinase alpha,P23743,1606,DGKA|DGK-alpha,NA
HGNC:2850,DGKB,ENSG00000136267,Light,diacylglycerol kinase beta,Q9Y6T7,1607,DGKB|KIAA0718|DGK|DGK-BETA,NA
HGNC:2851,DGKD,ENSG00000077044,Light,diacylglycerol kinase delta,Q16760,8527,DGKD|KIAA0145|DGKdelta,NA
HGNC:2852,DGKE,ENSG00000153933,Light,diacylglycerol kinase epsilon,P52429,8526,DGKE|DAGK6|DGK,NA
HGNC:2853,DGKG,ENSG00000058866,Light,diacylglycerol kinase gamma,P49619,1608,DGKG,NA
HGNC:2854,DGKH,ENSG00000102780,Light,diacylglycerol kinase eta,Q86XP1,160851,DGKH|DGKeta,NA
HGNC:2855,DGKI,ENSG00000157680,Light,diacylglycerol kinase iota,O75912,9162,DGKI|DGK-IOTA,NA
HGNC:32395,DGKK,ENSG00000274588,Light,diacylglycerol kinase kappa,Q5KSL6,139189,DGKK,NA
HGNC:2856,DGKQ,ENSG00000145214,Light,diacylglycerol kinase theta,P52824,1609,DGKQ|DAGK|DAGK7,NA
HGNC:2857,DGKZ,ENSG00000149091,Light,diacylglycerol kinase zeta,Q13574,8525,DGKZ|DAGK5|hDGKzeta|DGK-ZETA|DAGK6,NA
HGNC:2933,DMPK,ENSG00000104936,Light,DM1 protein kinase,Q09013,1760,DMPK|DMK|DM1PK|MDPK|MT-PK,DMPK1
HGNC:29043,DSTYK,ENSG00000133059,Dark,dual serine/threonine and tyrosine protein kinase,Q6XUX3,25778,DSTYK|KIAA0472|DustyPK|RIP5,SgK496
HGNC:3091,DYRK1A,ENSG00000157540,Light,dual specificity tyrosine phosphorylation regulated kinase 1A,Q13627,1859,DYRK1A,DYRK1A
HGNC:3092,DYRK1B,ENSG00000105204,Dark,dual specificity tyrosine phosphorylation regulated kinase 1B,Q9Y463,9149,DYRK1B|MIRK,DYRK1B
