Catalog Number,Description,HGNC_symbol,Gene ID NCBI,Expression Level,Expressed/Not expressed,Cell line (Parental),Delivery time,Product page
HZGHC004962c001,Human ADCK1 knockout cell line 7bp deletion,ADCK1,57143,16.31 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck1-7bp-deletion-knockout-cell-line-hzghc004962c001
HZGHC004962c009,Human ADCK1 knockout cell line 22bp deletion,ADCK1,57143,16.31 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck1-22bp-deletion-knockout-cell-line-hzghc004962c009
HZGHC002981c010,Human ADCK2 knockout cell line 5bp deletion,ADCK2,90956,31.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck2-knockout-cell-line-2602
HZGHC002981c011,Human ADCK2 knockout cell line 8bp deletion,ADCK2,90956,31.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck2-knockout-cell-line-2603
HZGHC001492c004,Human ADCK2 knockout cell line 17bp deletion,ADCK2,90956,31.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck2-knockout-cell-line-1
HZGHC000316c010,Human ADCK5 knockout cell line 16bp deletion,ADCK5,203054,4.75 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck5-knockout-cell-line-19823
HZGHC000316c015,Human ADCK5 knockout cell line 13bp deletion,ADCK5,203054,4.75 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck5-knockout-cell-line-19824
HZGHC000042c005,Human ALPK2 knockout cell line 13bp deletion,ALPK2,115701,0.01 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-alpk2-knockout-cell-line-3883
HZGHC000042c018,Human ALPK2 knockout cell line 5bp deletion,ALPK2,115701,0.01 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-alpk2-knockout-cell-line-3884
HZGHC000042c022,Human ALPK2 knockout cell line 19bp deletion,ALPK2,115701,0.01 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-alpk2-knockout-cell-line-3885
HZGHC57538,Human ALPK3 knockout cell line,ALPK3,57538,0.04 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-alpk3-knockout-cell-line
HZGHC000197c006,Human BCKDK knockout cell line 10bp deletion,BCKDK,10295,37.86 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-bckdk-knockout-cell-line-19593
HZGHC000347c019,Human BRSK1 knockout cell line 16bp deletion,BRSK1,84446,6.26 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk1-knockout-cell-line-19630
HZGHC000347c005,Human BRSK1 knockout cell line 1bp insertion,BRSK1,84446,6.26 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk1-knockout-cell-line-1
HZGHC000345c022,Human BRSK2 knockout cell line 7bp deletion,BRSK2,9024,8.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk2-knockout-cell-line-21372
HZGHC000345c017,Human BRSK2 knockout cell line 4bp deletion,BRSK2,9024,8.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk2-knockout-cell-line-21373
HZGHC000129c018,Human CAMK1D knockout cell line 23bp deletion,CAMK1D,57118,6.23 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camk1d-knockout-cell-line-19790
HZGHC000129c020,Human CAMK1D knockout cell line 16bp deletion,CAMK1D,57118,6.23 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camk1d-knockout-cell-line-19791
HZGHC57172,Human CAMK1G knockout cell line,CAMK1G,57172,0.00 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-camk1g-knockout-cell-line
HZGHC000309c018,Human CAMKK1 knockout cell line 7bp deletion,CAMKK1,84254,3.27 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk1-knockout-cell-line-19836
HZGHC000309c001,Human CAMKK1 knockout cell line 1bp insertion,CAMKK1,84254,3.27 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk1-knockout-cell-line-19837
HZGHC000309c005,Human CAMKK1 knockout cell line 1bp deletion,CAMKK1,84254,3.27 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk1-knockout-cell-line-19838
HZGHC000279c003,Human CAMKK2 knockout cell line 10bp deletion,CAMKK2,10645,16.39 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk2-knockout-cell-line-19802
HZGHC000077c003,Human CAMKV knockout cell line 5bp deletion,CAMKV,79012,10.57 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkv-knockout-cell-line-19720
HZGHC000077c016,Human CAMKV knockout cell line 1bp deletion,CAMKV,79012,10.57 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkv-knockout-cell-line-19721
HZGHC000077c023,Human CAMKV knockout cell line 1bp deletion,CAMKV,79012,10.57 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkv-knockout-cell-line-19722
HZGHC000131c001,Human CDC42BPA Knockout HAP1 Cell Line,CDC42BPA,8476,5.40126,NA,HAP1,No delivery information,https://www.horizondiscovery.com/human-cdc42bpa-knockout-hap1-cell-line
HZGHC000131c023,Human CDC42BPA Knockout HAP1 Cell Line,CDC42BPA,8476,5.40126,NA,HAP1,No delivery information,https://www.horizondiscovery.com/human-cdc42bpa-knockout-hap1-cell-line-3792
HZGHC8476,Human CDC42BPA knockout cell line,CDC42BPA,8476,9.15 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdc42bpa-knockout-cell-line
HZGHC002968c004,Human CDC42BPB knockout cell line 11bp deletion,CDC42BPB,9578,29.73 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdc42bpb-knockout-cell-line-2588
HZGHC002968c006,Human CDC42BPB knockout cell line 4bp deletion,CDC42BPB,9578,29.73 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdc42bpb-knockout-cell-line-2589
HZGHC000361c014,Human CDC42BPG knockout cell line 14bp deletion,CDC42BPG,55561,1.98 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdc42bpg-knockout-cell-line-3694
HZGHC000270c005,Human CDK10 knockout cell line 11bp deletion,CDK10,8558,49.41 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk10-knockout-cell-line-19632
HZGHC002629c012,Human CDK11A knockout cell line 2bp deletion,CDK11A,728642,20.98 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk11a-knockout-cell-line-2697
HZGHC984,Human CDK11B knockout cell line,CDK11B,984,90.65 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdk11b-knockout-cell-line
HZGHC000317c016,Human CDK13 knockout cell line 2bp insertion,CDK13,8621,14.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk13-knockout-cell-line-19839
HZGHC000317c002,Human CDK13 knockout cell line 14bp deletion,CDK13,8621,14.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk13-knockout-cell-line-19840
HZGHC000317c007,Human CDK13 knockout cell line 8bp deletion,CDK13,8621,14.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk13-knockout-cell-line-19841
HZGHC000043c019,Human CDK14 knockout cell line 14bp deletion,CDK14,5218,1.28 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk14-knockout-cell-line-22534
HZGHC65061,Human CDK15 knockout cell line,CDK15,65061,0.08 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdk15-knockout-cell-line
HZGHC000235c010,Human CDK16 knockout cell line 10bp deletion,CDK16,5127,214.47 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk16-knockout-cell-line-19608
HZGHC000132c004,Human CDK17 knockout cell line 7bp deletion,CDK17,5128,16.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk17-knockout-cell-line-3821
HZGHC000132c009,Human CDK17 knockout cell line 10bp deletion,CDK17,5128,16.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk17-knockout-cell-line-3822
HZGHC000305c013,Human CDK18 knockout cell line 1bp insertion,CDK18,5129,3.24 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk18-knockout-cell-line-22567
HZGHC000305c020,Human CDK18 knockout cell line 2bp deletion,CDK18,5129,3.24 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk18-knockout-cell-line-22568
HZGHC000305c011,Human CDK18 knockout cell line 14bp deletion,CDK18,5129,3.24 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk18-knockout-cell-line-22569
HZGHC000078c020,Human CDK19 knockout cell line 1bp insertion,CDK19,23097,11.52 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk19-knockout-cell-line-19791
HZGHC23552,Human CDK20 knockout cell line,CDK20,23552,0.00 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdk20-knockout-cell-line
HZGHC000332c012,Human CDKL1 knockout cell line 1bp insertion,CDKL1,8814,2.94 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl1-knockout-cell-line-19842
HZGHC000332c010,Human CDKL1 knockout cell line 1bp insertion,CDKL1,8814,2.94 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl1-knockout-cell-line-19843
HZGHC8999,Human CDKL2 knockout cell line,CDKL2,8999,0.00 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdkl2-knockout-cell-line
HZGHC000134c010,Human CDKL3 knockout cell line 2bp deletion,CDKL3,51265,1.60 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl3-knockout-cell-line-20596
HZGHC000134c012,Human CDKL3 knockout cell line 13bp deletion,CDKL3,51265,1.60 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl3-knockout-cell-line-20597
HZGHC344387,Human CDKL4 knockout cell line,CDKL4,344387,2.75 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdkl4-knockout-cell-line
HZGHC001261c009,Human CDKL5 knockout cell line 10bp deletion,CDKL5,6792,2.35 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl5-knockout-cell-line-21592
HZGHC002984c001,Human CDKL5 knockout cell line 22bp deletion,CDKL5,6792,2.35 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl5-knockout-cell-line-21593
HZGHC002984c010,Human CDKL5 knockout cell line 7bp deletion,CDKL5,6792,2.35 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl5-knockout-cell-line-21594
HZGHC004957c007,Human CLK3 knockout cell line 13bp deletion,CLK3,1198,110.76 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-clk3-13bp-deletion-knockout-cell-line-hzghc004957c007
HZGHC000081c001,Human CLK4 knockout cell line 19bp deletion,CLK4,57396,9.13 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-clk4-knockout-cell-line-20579
HZGHC000081c012,Human CLK4 knockout cell line 25bp deletion,CLK4,57396,9.13 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-clk4-knockout-cell-line-20580
HZGHC000081c014,Human CLK4 knockout cell line 19bp deletion,CLK4,57396,9.13 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-clk4-knockout-cell-line-20581
HZGHC122011,Human CSNK1A1L knockout cell line,CSNK1A1L,122011,0.03 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-csnk1a1l-knockout-cell-line
HZGHC000082c024,Human CSNK1G1 knockout cell line 263bp insertion,CSNK1G1,53944,14.81 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk1g1-knockout-cell-line-20581
HZGHC000082c007,Human CSNK1G1 knockout cell line 10bp deletion,CSNK1G1,53944,14.81 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk1g1-knockout-cell-line-20582
HZGHC000082c021,Human CSNK1G1 knockout cell line 8bp deletion,CSNK1G1,53944,14.81 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk1g1-knockout-cell-line-20583
HZGHC000045c010,Human CSNK1G2 knockout cell line 1bp insertion,CSNK1G2,1455,111.67 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk1g2-knockout-cell-line-19706
HZGHC000045c015,Human CSNK1G2 knockout cell line 77bp insertion,CSNK1G2,1455,111.67 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk1g2-knockout-cell-line-19707
HZGHC000138c008,Human CSNK1G3 knockout cell line 31bp deletion,CSNK1G3,1456,18.62 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk1g3-knockout-cell-line-21351
HZGHC000138c018,Human CSNK1G3 knockout cell line 1bp deletion,CSNK1G3,1456,18.62 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk1g3-knockout-cell-line-21353
HZGHC000083c002,Human CSNK2A2 knockout cell line 4bp deletion,CSNK2A2,1459,65.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk2a2-knockout-cell-line-19621
HZGHC000083c017,Human CSNK2A2 knockout cell line 14bp deletion,CSNK2A2,1459,65.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-csnk2a2-knockout-cell-line-19622
HZGHC283106,Human CSNK2A3 knockout cell line,CSNK2A3,283106,0.38 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-csnk2a3-knockout-cell-line
HZGHC85443,Human DCLK3 knockout cell line,DCLK3,85443,0.06 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-dclk3-knockout-cell-line
HZGHC000139c005,Human DSTYK knockout cell line 17bp deletion,DSTYK,25778,5.10 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dstyk-knockout-cell-line-19725
HZGHC000139c018,Human DSTYK knockout cell line 5bp deletion,DSTYK,25778,5.10 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dstyk-knockout-cell-line-19726
HZGHC000363c010,Human DYRK1B knockout cell line 16bp deletion,DYRK1B,9149,1.85 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dyrk1b-knockout-cell-line-20627
HZGHC000140c005,Human DYRK2 knockout cell line 1bp insertion,DYRK2,8445,17.11 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dyrk2-knockout-cell-line-19809
HZGHC000140c006,Human DYRK2 knockout cell line 16bp deletion,DYRK2,8445,17.11 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dyrk2-knockout-cell-line-19810
HZGHC000140c009,Human DYRK2 knockout cell line 1bp deletion,DYRK2,8445,17.11 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dyrk2-knockout-cell-line-19811
HZGHC000185c006,Human DYRK3 knockout cell line 10bp deletion,DYRK3,8444,3.83 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dyrk3-knockout-cell-line-3770
HZGHC030332c006,Human DYRK4 knockout cell line 5bp deletion,DYRK4,8798,20.14 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-dyrk4-knockout-cell-line-20328
HZGHC000085c014,Human EEF2K knockout cell line 11bp deletion,EEF2K,29904,8.94 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-eef2k-knockout-cell-line-19778
HZGHC000085c016,Human EEF2K knockout cell line 7bp deletion,EEF2K,29904,8.94 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-eef2k-knockout-cell-line-19779
HZGHC10595,Human ERN2 knockout cell line,ERN2,10595,0.06 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-ern2-knockout-cell-line
HZGHC008753c018,Human HIPK1 knockout cell line 2bp deletion,HIPK1,204851,17.22 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-hipk1-knockout-cell-line-2398
HZGHC008753c020,Human HIPK1 knockout cell line 2bp insertion,HIPK1,204851,17.22 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-hipk1-knockout-cell-line-2399
HZGHC008753c023,Human HIPK1 knockout cell line 5bp deletion,HIPK1,204851,17.22 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-hipk1-knockout-cell-line-2400
HZGHC000334c010,Human HIPK3 knockout cell line 1bp insertion,HIPK3,10114,8.48 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-hipk3-knockout-cell-line-20631
HZGHC000334c012,Human HIPK3 knockout cell line 2bp deletion,HIPK3,10114,8.48 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-hipk3-knockout-cell-line-20633
HZGHC147746,Human HIPK4 knockout cell line,HIPK4,147746,0.02 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-hipk4-knockout-cell-line
HZGHC000144c017,Human ICK knockout cell line 4bp deletion,ICK,22858,8.93 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-ick-knockout-cell-line-3869
HZGHC000708c008,Human LMTK2 knockout cell line 5bp deletion,LMTK2,22853,6.95 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-lmtk2-knockout-cell-line-3500
HZGHC000702c004,Human LMTK3 knockout cell line 1bp insertion,LMTK3,114783,0.57 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-lmtk3-knockout-cell-line-21626
HZGHC003500c005,Human LMTK3 knockout cell line 4bp deletion,LMTK3,114783,0.57 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-lmtk3-knockout-cell-line-21627
HZGHC003500c006,Human LMTK3 knockout cell line 11bp deletion,LMTK3,114783,0.57 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-lmtk3-knockout-cell-line-21628
HZGHC001345c012,Human LRRK1 knockout cell line 13bp deletion,LRRK1,79705,131.43 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-lrrk1-knockout-cell-line-21257
HZGHC002991c002,Human LRRK1 knockout cell line 13bp deletion,LRRK1,79705,131.43 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-lrrk1-knockout-cell-line-21258
HZGHC002991c011,Human LRRK1 knockout cell line 29bp deletion,LRRK1,79705,131.43 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-lrrk1-knockout-cell-line-21259
HZGHC000357c019,Human LTK knockout cell line 23bp deletion,LTK,4058,7.56 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-ltk-knockout-cell-line-21375
HZGHC000357c018,Human LTK knockout cell line 37bp deletion,LTK,4058,7.56 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-ltk-knockout-cell-line-21376
HZGHC000090c009,Human MAP3K10 knockout cell line 14bp deletion,MAP3K10,4294,8.41 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-map3k10-knockout-cell-line-20584
HZGHC000090c011,Human MAP3K10 knockout cell line 2bp deletion,MAP3K10,4294,8.41 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-map3k10-knockout-cell-line-20585
HZGHC000090c014,Human MAP3K10 knockout cell line 20bp deletion,MAP3K10,4294,8.41 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-map3k10-knockout-cell-line-20586
HZGHC000218c019,Human MAP3K14 knockout cell line 29bp deletion,MAP3K14,9020,1.30 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-map3k14-knockout-cell-line-20584
HZGHC389840,Human MAP3K15 knockout cell line,MAP3K15,389840,8.29 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-map3k15-knockout-cell-line
HZGHC002970c011,Human MAPK15 knockout cell line 2bp insertion,MAPK15,225689,1.27 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mapk15-knockout-cell-line-2576
HZGHC000333c012,Human MAPK4 knockout cell line 2bp deletion,MAPK4,5596,1.93 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mapk4-knockout-cell-line-21363
HZGHC000333c022,Human MAPK4 knockout cell line 2bp deletion,MAPK4,5596,1.93 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mapk4-knockout-cell-line-21364
HZGHC000333c005,Human MAPK4 knockout cell line 7bp deletion,MAPK4,5596,1.93 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mapk4-knockout-cell-line-21365
HZGHC000050c001,Human MARK1 knockout cell line 4bp deletion,MARK1,4139,10.39 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark1-knockout-cell-line-19709
HZGHC000050c012,Human MARK1 knockout cell line 11bp deletion,MARK1,4139,10.39 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark1-knockout-cell-line-19710
HZGHC000050c020,Human MARK1 knockout cell line 34bp deletion,MARK1,4139,10.39 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark1-knockout-cell-line-19711
HZGHC000151c001,Human MARK3 knockout cell line 1bp insertion,MARK3,4140,64.04 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark3-knockout-cell-line-3834
HZGHC000151c014,Human MARK3 knockout cell line 5bp deletion,MARK3,4140,64.04 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark3-knockout-cell-line-3835
HZGHC000151c016,Human MARK3 knockout cell line 17bp deletion,MARK3,4140,64.04 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark3-knockout-cell-line-3836
HZGHC000152c006,Human MARK4 knockout cell line 2bp deletion,MARK4,57787,27.00 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark4-knockout-cell-line-3792
HZGHC000152c008,Human MARK4 knockout cell line 29bp deletion,MARK4,57787,27.00 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mark4-knockout-cell-line-3793
HZGHC000094c020,Human MAST2 knockout cell line 17bp deletion,MAST2,23139,17.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast2-knockout-cell-line-19767
HZGHC000095c009,Human MAST3 knockout cell line 19bp deletion,MAST3,23031,5.16 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast3-knockout-cell-line-19798
HZGHC000095c022,Human MAST3 knockout cell line 7bp deletion,MAST3,23031,5.16 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast3-knockout-cell-line-19799
HZGHC000153c003,Human MAST4 knockout cell line 13bp deletion,MAST4,375449,4.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast4-knockout-cell-line-20601
HZGHC000153c023,Human MAST4 knockout cell line 2bp deletion,MAST4,375449,4.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast4-knockout-cell-line-20603
HZGHC004743c002,Human MAST4 knockout cell line 10bp deletion,MAST4,375449,4.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast4-10bp-deletion-knockout-cell-line-hzghc004743c002
HZGHC004743c003,Human MAST4 knockout cell line 1bp insertion,MAST4,375449,4.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast4-1bp-insertion-knockout-cell-line-hzghc004743c003
HZGHC004742c001,Human MAST4 knockout cell line 10bp deletion,MAST4,375449,4.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast4-10bp-deletion-knockout-cell-line-hzghc004742c001
HZGHC004742c002,Human MAST4 knockout cell line 20bp deletion,MAST4,375449,4.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mast4-20bp-deletion-knockout-cell-line-hzghc004742c002
HZGHC000397c012,Human MKNK1 knockout cell line 7bp deletion,MKNK1,8569,33.97 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mknk1-knockout-cell-line-20643
HZGHC000397c018,Human MKNK1 knockout cell line 4bp deletion,MKNK1,8569,33.97 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mknk1-knockout-cell-line-20644
HZGHC000397c002,Human MKNK1 knockout cell line 7bp deletion,MKNK1,8569,33.97 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mknk1-knockout-cell-line-20645
HZGHC000156c008,Human MKNK2 knockout cell line 16bp deletion,MKNK2,2872,40.66 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mknk2-knockout-cell-line-19590
HZGHC000156c020,Human MKNK2 knockout cell line 4bp deletion,MKNK2,2872,40.66 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-mknk2-knockout-cell-line-19591
HZGHC000344c010,Human NEK1 knockout cell line 2bp deletion,NEK1,4750,5.58 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek1-knockout-cell-line-20619
HZGHC000344c012,Human NEK1 knockout cell line 10bp deletion,NEK1,4750,5.58 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek1-knockout-cell-line-20620
